id,question_id,texte,est_correcte,feedback_specifique
1,1,"routes/web.php",1,"C'est le fichier standard pour les routes du navigateur."
2,1,"routes/api.php",0,"Utilisé pour les endpoints API sans état."
3,1,"app/Routes.php",0,"Ce fichier n'existe pas par défaut dans Laravel."
4,2,"php artisan make:controller",1,"Commande standard du CLI Artisan."
5,2,"php artisan create:controller",0,"La commande est make:controller."
6,2,"php artisan artisan:controller",0,"Syntaxe incorrecte."
7,3,"Héritage de layout (@extends)",1,"Permet de réutiliser une structure parente."
8,3,"Directives de contrôle (@if, @foreach)",1,"Simplifie l'écriture des boucles et conditions."
9,3,"Compilation en C++",0,"Blade est compilé en code PHP brut."
10,4,"Injection de dépendances",1,"C'est le mécanisme cœur pour le découplage."
11,4,"Optimisation des images",0,"Ce rôle est dédié à d'autres packages."
12,4,"Routage HTTP",0,"C'est le rôle du Router."
13,5,"GET / POST",1,"Méthodes les plus utilisées."
14,5,"PUT / DELETE",1,"Méthodes utilisées pour le RESTful."
15,5,"FETCH",0,"Fetch est une API JS, pas une méthode HTTP."
16,6,"document.getElementById()",1,"Sélecteur le plus rapide par ID."
17,6,"document.find()",0,"Méthode inexistante."
18,6,"document.selectId()",0,"Méthode inexistante."
19,7,"element.addEventListener()",1,"Permet d'attacher plusieurs écouteurs."
20,7,"element.onClick()",0,"En JS pur, on utilise onclick ou addEventListener."
21,7,"element.listen()",0,"Méthode inexistante."
22,8,"click",1,"Événement de clic gauche."
23,8,"mouseover",1,"Événement de survol."
24,8,"keypress",0,"Événement lié au clavier."
25,9,"element.textContent",1,"Modifie le texte sans interpréter le HTML."
26,9,"element.value",0,"Utilisé pour les champs de formulaire (input)."
27,9,"element.setHtml()",0,"Méthode inexistante."
28,10,"classList.add()",1,"Ajoute une classe sans écraser les autres."
29,10,"classList.toggle()",1,"Ajoute ou retire la classe selon sa présence."
30,10,"className.change()",0,"Syntaxe incorrecte."
31,11,"WHERE",1,"Indispensable pour le filtrage de lignes."
32,11,"FILTER",0,"Mot-clé inexistant pour SELECT (sauf contextes spécifiques)."
33,11,"GROUP BY",0,"Utilisé pour le regroupement, pas le filtrage simple."
34,12,"INNER JOIN",1,"Jointure par intersection."
35,12,"OUTER JOIN",0,"Jointure qui inclut les lignes sans correspondance."
36,12,"UNION",0,"Opérateur d'ensemble, pas une jointure."
37,13,"COUNT()",1,"Compte les lignes."
38,13,"SUM()",1,"Additionne les valeurs."
39,13,"TOTAL()",0,"La fonction en SQL est SUM()."
40,14,"ORDER BY ... DESC",1,"DESC signifie Descendant (Décroissant)."
41,14,"SORT BY",0,"Le mot-clé est ORDER BY."
42,14,"REVERSE",0,"Mot-clé inexistant pour le tri dans SELECT."
43,15,"Unique",1,"Assure l'identification unique de la ligne."
44,15,"Not Null",1,"Une clé primaire doit toujours avoir une valeur."
45,15,"Doublons autorisés",0,"Impossible par définition d'une clé primaire."
